METHOD_NAME,GAS_COST(ETH),GAS_COST(USD),INPUT_SIZE
addWhitelisted,0.000022816,0.0042,4
addWhitelisted,0.000024276,0.0045,8
addWhitelisted,0.000025748,0.0048,12
addWhitelisted,0.000027222,0.0050,16
addWhitelisted,0.000028681,0.0053,20
addWhitelisted,0.000030152,0.0056,24
addWhitelisted,0.000031612,0.0059,28
addWhitelisted,0.000033072,0.0061,32
createMapping,0.000021064,0.0039,4
createMapping,0.000021064,0.0039,8
createMapping,0.000021064,0.0039,12
createMapping,0.000021064,0.0039,16
createMapping,0.000021064,0.0039,20
createMapping,0.000021064,0.0039,24
createMapping,0.000021064,0.0039,28
createMapping,0.000021064,0.0039,32
setIpfsHash,0.000527860,0.098,4
setIpfsHash,0.001055720,0.200,8
setIpfsHash,0.001583580,0.290,12
setIpfsHash,0.002111440,0.390,16
setIpfsHash,0.002639300,0.490,20
setIpfsHash,0.003167160,0.590,24
setIpfsHash,0.003695020,0.690,28
setIpfsHash,0.004222880,0.780,32
